anzsco_code,occupation_title,national_rating,nsw,vic,qld,sa,wa,tas,nt,act,skill_level,major_group
212412,Newspaper or Periodical Editor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212413,Print Journalist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212414,Radio Journalist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212415,Technical Writer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212416,Television Journalist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
212499,Journalists and Other Writers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
221111,Accountant (General),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
221112,Management Accountant,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
221113,Taxation Accountant,S,S,S,S,S,S,S,S,S,1,2
221211,Company Secretary,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
221212,Corporate Treasurer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
221213,External Auditor,S,S,S,S,S,S,S,S,S,1,2
221214,Internal Auditor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222111,Commodities Trader,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
222112,Finance Broker,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
222113,Insurance Broker,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
222199,Financial Brokers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
222211,Financial Market Dealer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222212,Futures Trader,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222213,Stockbroking Dealer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222299,Financial Dealers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222311,Financial Investment Adviser,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
222312,Financial Investment Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
223111,Human Resource Adviser,NS,NS,NS,NS,S,NS,NS,S,NS,1,2
223112,Recruitment Consultant,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
223113,Workplace Relations Adviser,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
223311,Training and Development Professional,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224111,Actuary,S,S,S,S,S,S,S,NS,S,1,2
224112,Mathematician,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224114,Data Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224115,Data Scientist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224116,Statistician,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224211,Archivist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224212,Gallery or Museum Curator,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224213,Health Information Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224214,Records Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224311,Economist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224411,Intelligence Officer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224412,Policy Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224511,Land Economist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224512,Valuer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224611,Librarian,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224712,Organisation and Methods Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224713,Management Consultant,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224714,Supply Chain Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224911,Electorate Officer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224912,Liaison Officer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224913,Migration Agent / Immigration Consultant,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224914,Patents Examiner,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
224999,Information and Organisation Professionals nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225111,Advertising Specialist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225112,Market Research Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225113,Marketing Specialist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225114,Content Creator (Marketing),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225115,Digital Marketing Analyst,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225211,ICT Account Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225212,ICT Business Development Manager,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225213,ICT Sales Representative,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
